[[4, 9], [3, 10], [3, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [9, 18], [10, 19]]
[[4, 9], [3, 10], [3, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [9, 18], [10, 19]]
[[4, 9], [3, 10], [3, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [9, 18], [10, 19]]
[[4, 9], [3, 10], [2, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [9, 18], [10, 19]]
[[4, 9], [3, 10], [3, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [9, 18], [10, 19]]
[[4, 9], [4, 10], [3, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [10, 18], [10, 19]]
[[4, 9], [3, 10], [4, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [7, 17], [8, 18], [9, 19], [10, 19]]
[[4, 9], [4, 10], [3, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [9, 18], [10, 19]]
[[4, 9], [3, 10], [2, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [10, 18], [10, 19]]
[[4, 9], [4, 10], [3, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [10, 18], [10, 19]]
[[4, 9], [3, 10], [2, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [10, 18], [10, 19]]
[[4, 9], [3, 10], [3, 11], [3, 12], [3, 13], [4, 14], [5, 15], [6, 16], [7, 17], [8, 18], [9, 18], [10, 19]]
[[4, 9], [3, 10], [3, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [9, 18], [10, 19]]
[[4, 9], [3, 10], [3, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [9, 18], [10, 19]]
[[4, 9], [5, 10], [4, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [10, 18], [10, 19]]
[[4, 9], [5, 10], [4, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [9, 18], [10, 19]]
[[4, 9], [5, 10], [4, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [9, 18], [10, 19]]
[[4, 9], [3, 10], [3, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [10, 18], [10, 19]]
[[4, 9], [3, 10], [2, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [9, 18], [10, 19]]
[[4, 9], [4, 10], [3, 11], [3, 12], [4, 13], [5, 14], [6, 15], [7, 16], [8, 16], [9, 17], [10, 18], [10, 19]]
