[[17, 3], [16, 2], [15, 1], [15, 0]]
[[17, 3], [16, 2], [15, 1], [15, 0]]
[[17, 3], [16, 2], [15, 1], [15, 0]]
[[17, 3], [16, 2], [15, 1], [15, 0]]
[[17, 3], [17, 2], [16, 1], [15, 0]]
[[17, 3], [16, 2], [15, 1], [15, 0]]
[[17, 3], [17, 2], [16, 1], [15, 0]]
[[17, 3], [17, 2], [16, 1], [15, 0]]
[[17, 3], [17, 2], [16, 1], [15, 0]]
[[17, 3], [16, 2], [16, 1], [15, 0]]
[[17, 3], [17, 4], [18, 5], [17, 5], [17, 6], [16, 7], [15, 7], [14, 6], [15, 6], [14, 7], [14, 8], [13, 8], [12, 7], [11, 8], [11, 9], [12, 9], [13, 10], [12, 11], [11, 10], [12, 10], [13, 9], [12, 8], [11, 7], [10, 7], [9, 7], [10, 6], [11, 5], [10, 5], [11, 6], [12, 6], [12, 5], [13, 4], [12, 4], [11, 4], [10, 4], [11, 3], [10, 3], [9, 3], [9, 4], [8, 5], [9, 5], [8, 6], [8, 7], [8, 8], [7, 7], [7, 6], [7, 5], [6, 4], [6, 5], [7, 4], [6, 3], [7, 3], [8, 2], [9, 2], [10, 2], [9, 1], [10, 1], [11, 2], [12, 1], [11, 0], [11, 1], [12, 0], [13, 1], [14, 1], [15, 2], [16, 3], [15, 3], [16, 2], [15, 1], [15, 0]]
