[[1, 11], [2, 11], [3, 11], [4, 11], [5, 12], [6, 12], [7, 11], [8, 12], [9, 12], [10, 13], [11, 13], [12, 14], [13, 15], [14, 15], [15, 15], [16, 15], [17, 16], [18, 16], [19, 17], [20, 17], [21, 17], [22, 17], [23, 16], [24, 17], [25, 18], [26, 18], [27, 18], [28, 17], [29, 17]]
[[1, 11], [2, 12], [3, 12], [4, 11], [5, 12], [6, 13], [7, 13], [8, 14], [9, 13], [10, 13], [11, 14], [12, 14], [13, 14], [14, 15], [15, 14], [16, 15], [17, 15], [18, 16], [19, 16], [20, 16], [21, 16], [22, 17], [23, 18], [24, 18], [25, 17], [26, 17], [27, 16], [28, 16], [29, 17]]
[[1, 11], [2, 11], [3, 10], [4, 11], [5, 12], [6, 13], [7, 12], [8, 11], [9, 10], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 14], [16, 15], [17, 15], [18, 16], [19, 15], [20, 14], [21, 14], [22, 15], [23, 16], [24, 17], [25, 18], [26, 18], [27, 18], [28, 17], [29, 17]]
[[1, 11], [2, 11], [3, 12], [4, 12], [5, 13], [6, 13], [7, 12], [8, 12], [9, 11], [10, 12], [11, 13], [12, 14], [13, 15], [14, 16], [15, 16], [16, 16], [17, 15], [18, 16], [19, 17], [20, 18], [21, 17], [22, 17], [23, 17], [24, 18], [25, 17], [26, 16], [27, 17], [28, 17], [29, 17]]
[[1, 11], [2, 12], [3, 12], [4, 12], [5, 13], [6, 13], [7, 13], [8, 12], [9, 12], [10, 13], [11, 13], [12, 14], [13, 15], [14, 15], [15, 15], [16, 16], [17, 17], [18, 18], [19, 17], [20, 16], [21, 17], [22, 17], [23, 18], [24, 17], [25, 17], [26, 18], [27, 17], [28, 17], [29, 17]]
[[1, 11], [2, 11], [3, 12], [4, 12], [5, 13], [6, 12], [7, 11], [8, 11], [9, 12], [10, 13], [11, 12], [12, 12], [13, 13], [14, 14], [15, 13], [16, 14], [17, 13], [18, 14], [19, 15], [20, 16], [21, 16], [22, 16], [23, 17], [24, 18], [25, 18], [26, 17], [27, 17], [28, 17], [29, 17]]
[[1, 11], [2, 12], [3, 12], [4, 12], [5, 11], [6, 11], [7, 12], [8, 11], [9, 12], [10, 12], [11, 12], [12, 13], [13, 12], [14, 12], [15, 13], [16, 13], [17, 14], [18, 15], [19, 16], [20, 16], [21, 15], [22, 16], [23, 17], [24, 18], [25, 18], [26, 18], [27, 17], [28, 17], [29, 17]]
[[1, 11], [2, 11], [3, 12], [4, 11], [5, 10], [6, 9], [7, 10], [8, 10], [9, 11], [10, 12], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 17], [18, 17], [19, 16], [20, 17], [21, 17], [22, 16], [23, 16], [24, 17], [25, 18], [26, 17], [27, 16], [28, 16], [29, 17]]
[[1, 11], [2, 12], [3, 12], [4, 11], [5, 12], [6, 12], [7, 11], [8, 12], [9, 12], [10, 13], [11, 13], [12, 14], [13, 15], [14, 15], [15, 15], [16, 15], [17, 16], [18, 16], [19, 17], [20, 17], [21, 17], [22, 17], [23, 16], [24, 17], [25, 18], [26, 18], [27, 18], [28, 17], [29, 17]]
[[1, 11], [2, 11], [3, 12], [4, 12], [5, 13], [6, 12], [7, 11], [8, 12], [9, 11], [10, 12], [11, 12], [12, 13], [13, 13], [14, 14], [15, 13], [16, 14], [17, 13], [18, 14], [19, 15], [20, 16], [21, 15], [22, 16], [23, 17], [24, 17], [25, 17], [26, 17], [27, 17], [28, 16], [29, 17]]
[[1, 11], [2, 11], [3, 12], [4, 12], [5, 13], [6, 12], [7, 11], [8, 10], [9, 11], [10, 12], [11, 13], [12, 14], [13, 15], [14, 15], [15, 15], [16, 15], [17, 16], [18, 16], [19, 17], [20, 17], [21, 17], [22, 17], [23, 16], [24, 17], [25, 18], [26, 18], [27, 18], [28, 18], [29, 17]]
